symbol,exchange,name,type,mic
DTSS,US,Datasea Inc,Common Stock,XNAS
WNC,US,Wabash National Corp,Common Stock,XNYS
BTOW,US,Gtfn Holdings Inc,Common Stock,OOTC
SMEBF,US,Sime Darby Berhad,Common Stock,OOTC
BWB,US,Bridgewater Bancshares Inc,Common Stock,XNAS
QTIWW,US,Gigcapital5 Inc -cw28,Equity WRT,OOTC
BBAX,US,Jpmorgan Betabuilders Develo,ETP,BATS
ORXJF,US,Orix Jreit Inc,REIT,OOTC
MCBS,US,Metrocity Bankshares Inc,Common Stock,XNAS
KGGNF,US,Kogan.com Ltd,Common Stock,OOTC
GNCC,US,Genco Corp,Common Stock,OOTC
MBUMF,US,Mabuchi Motor Co Ltd,Common Stock,OOTC
ITPC,US,Intrepid Capital Corp,Common Stock,OOTC
PLTT,US,Pilot Therapeutics Holdings,Common Stock,OOTC
AUVIQ,US,Applied Uv Inc,Common Stock,OOTC
CNLTN,US,Connecticut Light And Power Company,,OOTC
CPLB,US,Nyli Mackay Core Plus Bond E,ETP,ARCX
DJXXF,US,Ishares Stoxxe600 De Eur Dis,ETP,OOTC
HAWEN,US,Hawaiian Electric Inc,,OOTC
PYIYF,US,Property For Industry Ltd,Common Stock,OOTC
MADGF,US,Mader Group Ltd,Common Stock,OOTC
SMAL,US,Summit Bancshares Inc,Common Stock,OOTC
SOLBF,US,Solvbl Solutions Inc,Common Stock,OOTC
ADIA,US,Adia Nutrition Inc,Common Stock,OOTC
QDPL,US,Pacer Met Us Lrg Cap Dvd 400,ETP,ARCX
ICABY,US,I-cable Communications-adr,ADR,OOTC
CRWE,US,Crown Equity Holdings Inc,Common Stock,OOTC
MWKVS,US,Masterworks Vault 3 Llc,Common Stock,OOTC
CAPE,US,Doubleline Shiller Cape Us,ETP,ARCX
DWM,US,Wisdomtree International Equ,ETP,ARCX
SGGEF,US,Sage Group Plc/the,Common Stock,OOTC
KEY,US,Keycorp,Common Stock,XNYS
HYGH,US,Ishares Int Rate Hedg Hy Etf,ETP,ARCX
OUSTW,US,Ouster Inc-28,Equity WRT,XNAS
RFMZ,US,Rivernorth Flex Muni Ii,Closed-End Fund,XNYS
BLPFF,US,Blok Technologies Inc,Common Stock,OOTC
COFRF,US,Comforia Residential Reit In,REIT,OOTC
PGTK,US,Pacific Green Technologies I,Common Stock,OOTC
IEMMF,US,Ishr Edge Msci Wrld Momentum,ETP,OOTC
QQQU,US,Direxion Daily Magnificent 7,ETP,ARCX
